interpolated_c1_times,interpolated_c1_x_coords,interpolated_c1_y_coords
12454,-61.47538138713554,15.366122165140666
12455,-61.475376491651915,15.366110545220756
12456,-61.47537157702707,15.366098926125536
12457,-61.475366643261005,15.366087307855002
12458,-61.47536169035372,15.36607569040916
12459,-61.47535671830521,15.366064073788005
12460,-61.47535172711545,15.366052457991533
12461,-61.4753467167845,15.366040843019752
12462,-61.4753416873123,15.366029228872659
12463,-61.475336638698884,15.366017615550254
12464,-61.475331570944256,15.366006003052538
12465,-61.47532648404839,15.365994391379509
12466,-61.4753213780113,15.365982780531166
12467,-61.47531625283299,15.365971170507516
12468,-61.47531110851346,15.365959561308552
12469,-61.47530594505268,15.365947952934272
12470,-61.4753007624507,15.365936345384686
12471,-61.475295560707494,15.365924738659784
12472,-61.47529033982306,15.365913132759571
12473,-61.47528509979739,15.365901527684047
12474,-61.4752798406305,15.365889923433208
12475,-61.4752745623224,15.36587832000706
12476,-61.47526926487308,15.3658667174056
12477,-61.47526394828251,15.365855115628827
12478,-61.475258612550725,15.365843514676742
12479,-61.47525325767772,15.365831914549345
12480,-61.4752478836635,15.365820315246639
12481,-61.47524249050804,15.365808716768615
12482,-61.47523707821135,15.365797119115278
12483,-61.47523164677346,15.365785522286636
12484,-61.47522619619433,15.365773926282682
12485,-61.47522072647397,15.365762331103411
12486,-61.47521523761239,15.36575073674883
12487,-61.47520972960959,15.365739143218937
12488,-61.47520420246556,15.365727550513732
12489,-61.47519865618031,15.365715958633215
12490,-61.475193090753834,15.365704367577386
12491,-61.47518750618613,15.365692777346247
12492,-61.47518190247721,15.365681187939792
12493,-61.475176279627064,15.365669599358029
12494,-61.475170637635685,15.365658011600951
12495,-61.47516497650308,15.36564642466856
12496,-61.47515929622925,15.365634838560858
12497,-61.47515359681421,15.36562325327785
12498,-61.47514787825794,15.365611668819522
12499,-61.47514214056044,15.365600085185886
12500,-61.47513638372173,15.36558850237694
12501,-61.47513064165276,15.365576977063716
